ticker,issuer,value_usd,shares,adv,days_to_liquidate_100pct,days_to_liquidate_20pct,days_to_liquidate_10pct
CORZ,CORE SCIENTIFIC INC NEW,665556824,26008473,14052575.806451613,1.8507975589827006,9.253987794913503,18.507975589827005
WYFI,WHITEFIBER INC,68282760,1757600,1758880.6451612904,0.999271897632842,4.9963594881642095,9.992718976328419
RIOT,RIOT PLATFORMS INC,468198000,17100000,17711879.032258064,0.9654537482362165,4.827268741181083,9.654537482362166
APLD,APPLIED DIGITAL CORP,469022807,15384616,23329103.225806452,0.659460239473829,3.297301197369145,6.59460239473829
STM,STMICROELECTRONICS,584344203,7802700,12236506.451612903,0.6376574907923593,3.188287453961796,6.376574907923592
CLSK,CLEANSPARK INC,178617822,12276139,21852620.967741936,0.561769639354547,2.808848196772735,5.61769639354547
BW,BABCOCK &amp; WILCOX ENTERPRISES,28587059,2027451,3716722.580645161,0.5454943047291058,2.7274715236455287,5.454943047291057
BE,BLOOM ENERGY CORP,1898778982,6272808,11573253.225806452,0.5420090511812763,2.710045255906381,5.420090511812762
SEI,SOLARIS ENERGY INFRAS INC,90889306,1129621,2327325.806451613,0.48537295331343877,2.4268647665671934,4.853729533134387
PUMP,PROPETRO HLDG CORP,28111878,1960382,4720908.064516129,0.4152552799608331,2.076276399804166,4.152552799608332
BTDR,BITDEER TECHNOLOGIES GROUP,54584072,3439450,9067874.193548387,0.3793005865086991,1.8965029325434952,3.7930058650869904
HIVE,HIVE DIGITAL TECHNOLOGIES LT,33246763,9133726,27791487.096774194,0.3286519346084279,1.6432596730421394,3.2865193460842788
NBIS,NEBIUS GROUP N.V.,1232894684,4464260,17381533.870967742,0.256839242908051,1.284196214540255,2.56839242908051
CRWV,COREWEAVE INC,744515203,7479558,30932666.129032258,0.24180127147139002,1.2090063573569498,2.4180127147138997
IREN,IREN LIMITED,433250547,9474099,44875470.96774194,0.21111976756322656,1.055598837816133,2.111197675632266
TSM,TAIWAN SEMICONDUCTOR MANUFAC,1265099645,2649035,13647396.774193548,0.19410551651939767,0.9705275825969882,1.9410551651939765
SNDK,SANDISK CORP,5673738513,2495344,13831953.225806452,0.18040431161554282,0.902021558077714,1.804043116155428
TE,T1 ENERGY INC,46452000,4900000,31717424.19354839,0.15448921608825678,0.7724460804412837,1.5448921608825674
MU,MICRON TECHNOLOGY INC,5573819392,4828786,51513564.51612903,0.09373814538669896,0.4686907269334948,0.9373814538669896
VSH,VISHAY INTERTECHNOLOGY INC,20167500,375000,6244111.29032258,0.06005658492685625,0.30028292463428125,0.6005658492685625
CBRS,CEREBRAS SYSTEMS INC,2210000,10000,8916003.125,0.0011215787903842845,0.005607893951921422,0.011215787903842844
