issuer,put_call,q1_value,q2_value,change_usd
VANECK ETF TRUST,PUT,2042716860.0,0.0,-2042716860.0
NVIDIA CORPORATION,PUT,1568257120.0,0.0,-1568257120.0
ORACLE CORP,PUT,1072873230.0,0.0,-1072873230.0
BROADCOM INC,PUT,1006247961.0,0.0,-1006247961.0
ADVANCED MICRO DEVICES INC,PUT,969160863.0,0.0,-969160863.0
MICRON TECHNOLOGY INC,PUT,583686168.0,0.0,-583686168.0
TAIWAN SEMICONDUCTOR MANUFAC,PUT,535110030.0,0.0,-535110030.0
ASML HLDG NV N Y REGISTRY,PUT,494122503.0,0.0,-494122503.0
MICRON TECHNOLOGY INC,CALL,422300000.0,0.0,-422300000.0
SANDISK CORP,CALL,388764546.0,0.0,-388764546.0
TAIWAN SEMICONDUCTOR MANUFAC,CALL,354847500.0,23878500.0,-330969000.0
INTEL CORP,PUT,159106302.0,0.0,-159106302.0
COREWEAVE INC,CALL,140569315.0,0.0,-140569315.0
BITFARMS LTD,LONG,38757888.0,0.0,-38757888.0
POWER SOLUTIONS INTL INC,LONG,26318424.0,0.0,-26318424.0
CORNING INC,PUT,21020962.0,0.0,-21020962.0
ADVANCED MICRO DEVICES INC,LONG,20167643.0,0.0,-20167643.0
BLOOM ENERGY CORP,CALL,55347665.0,44133660.0,-11214005.0
VANECK ETF TRUST,LONG,10332630.0,0.0,-10332630.0
INTEL CORP,LONG,8929441.0,0.0,-8929441.0
ASML HLDG NV N Y REGISTRY,LONG,6119405.0,0.0,-6119405.0
INFOSYS LTD,PUT,6755000.0,5245000.0,-1510000.0
CORNING INC,LONG,718330.0,0.0,-718330.0
NVIDIA CORPORATION,LONG,497912.0,0.0,-497912.0
CEREBRAS SYSTEMS INC,LONG,0.0,2210000.0,2210000.0
T1 ENERGY INC,LONG,43900000.0,46452000.0,2552000.0
BABCOCK &amp; WILCOX ENTERPRISES,LONG,19888791.0,28587059.0,8698268.0
PROPETRO HLDG CORP,LONG,13117423.0,28111878.0,14994455.0
VISHAY INTERTECHNOLOGY INC,LONG,0.0,20167500.0,20167500.0
BITDEER TECHNOLOGIES GROUP,LONG,29751243.0,54584072.0,24832829.0
HIVE DIGITAL TECHNOLOGIES LT,LONG,6443939.0,33246763.0,26802824.0
SOLARIS ENERGY INFRAS INC,LONG,62474687.0,90889306.0,28414619.0
IREN LIMITED,LONG,401036064.0,433250547.0,32214483.0
WHITEFIBER INC,LONG,20933016.0,68282760.0,47349744.0
CLEANSPARK INC,LONG,104469943.0,178617822.0,74147879.0
APPLIED DIGITAL CORP,LONG,319978118.0,469022807.0,149044689.0
KEEL INFRASTRUCTURE CORP,LONG,0.0,151830996.0,151830996.0
COREWEAVE INC,LONG,556073385.0,744515203.0,188441818.0
CORE SCIENTIFIC INC NEW,LONG,389086756.0,665556824.0,276470068.0
RIOT PLATFORMS INC,LONG,142166413.0,468198000.0,326031587.0
SHARONAI HOLDINGS INC,LONG,18095535.0,456836112.0,438740577.0
STMICROELECTRONICS,LONG,0.0,584344203.0,584344203.0
BLOOM ENERGY CORP,LONG,878707930.0,1898778982.0,1020071052.0
NEBIUS GROUP N.V.,LONG,0.0,1232894684.0,1232894684.0
TAIWAN SEMICONDUCTOR MANUFAC,LONG,7577853.0,1265099645.0,1257521792.0
SANDISK CORP,LONG,724363205.0,5673738513.0,4949375308.0
MICRON TECHNOLOGY INC,LONG,5865578.0,5573819392.0,5567953814.0
